Date,3M
1/2/2019,-0.62683841
1/3/2019,-0.612302845
1/4/2019,-0.631493272
1/7/2019,-0.612017441
1/8/2019,-0.626447202
1/9/2019,-0.608777228
1/10/2019,-0.606445756
1/11/2019,-0.605625385
1/14/2019,-0.588436059
1/15/2019,-0.597059594
1/16/2019,-0.585977518
1/17/2019,-0.576145969
1/18/2019,-0.583814198
1/21/2019,-0.580218254
1/22/2019,-0.58933627
1/23/2019,-0.583620787
1/24/2019,-0.582864757
1/25/2019,-0.589295443
1/28/2019,-0.576356544
1/29/2019,-0.569159708
1/30/2019,-0.577821341
1/31/2019,-0.584420725
2/1/2019,-0.570365403
2/4/2019,-0.554218219
2/5/2019,-0.551559849
2/6/2019,-0.54434715
2/7/2019,-0.535167462
2/8/2019,-0.526921775
2/11/2019,-0.534557797
2/12/2019,-0.540594501
2/13/2019,-0.555085836
2/14/2019,-0.550154683
2/15/2019,-0.551131396
2/18/2019,-0.554318
2/19/2019,-0.577810087
2/20/2019,-0.567444774
2/21/2019,-0.562130168
2/22/2019,-0.577069929
2/25/2019,-0.558095653
2/26/2019,-0.570872761
2/27/2019,-0.560382972
2/28/2019,-0.568408583
3/1/2019,-0.569230784
3/4/2019,-0.561884898
3/5/2019,-0.569071762
3/6/2019,-0.558881691
3/7/2019,-0.570446008
3/8/2019,-0.563828808
3/11/2019,-0.566452878
3/12/2019,-0.566967327
3/13/2019,-0.566967327
3/14/2019,-0.569204458
3/15/2019,-0.567588033
3/18/2019,-0.557200432
3/19/2019,-0.563855544
3/20/2019,-0.560630379
3/21/2019,-0.561368176
3/22/2019,-0.570550352
3/25/2019,-0.575688592
3/26/2019,-0.565404401
3/27/2019,-0.580362864
3/28/2019,-0.579724747
3/29/2019,-0.570297128
4/1/2019,-0.570756196
4/2/2019,-0.566836412
4/3/2019,-0.568098373
4/4/2019,-0.566728365
4/5/2019,-0.563205049
4/8/2019,-0.562753299
4/9/2019,-0.557815616
4/10/2019,-0.554496582
4/11/2019,-0.551429617
4/12/2019,-0.555387264
4/15/2019,-0.556411016
