Date,3M
1/2/2020,-0.623163821
1/3/2020,-0.595305642
1/6/2020,-0.59715218
1/7/2020,-0.60515186
1/8/2020,-0.597195769
1/9/2020,-0.594828725
1/10/2020,-0.594970498
1/13/2020,-0.573718944
1/14/2020,-0.585290627
1/15/2020,-0.586064394
1/16/2020,-0.592936967
1/17/2020,-0.589743852
1/20/2020,-0.567888685
1/21/2020,-0.568834672
1/22/2020,-0.576219069
1/23/2020,-0.588518196
1/24/2020,-0.589245631
1/27/2020,-0.57641401
1/28/2020,-0.581189315
1/29/2020,-0.596174036
1/30/2020,-0.600070131
1/31/2020,-0.616206533
2/3/2020,-0.60939261
2/4/2020,-0.615465943
2/5/2020,-0.614431237
2/6/2020,-0.608593608
2/7/2020,-0.613838813
2/10/2020,-0.612185827
2/11/2020,-0.617854387
2/12/2020,-0.617616511
2/13/2020,-0.623353832
2/14/2020,-0.617550351
2/17/2020,-0.606343067
2/18/2020,-0.599301734
2/19/2020,-0.603617906
2/20/2020,-0.594337877
2/21/2020,-0.602807634
2/24/2020,-0.628979846
2/25/2020,-0.631754671
2/26/2020,-0.65102244
2/27/2020,-0.676468271
2/28/2020,-0.675615963
3/2/2020,-0.670435059
3/3/2020,-0.648426397
3/4/2020,-0.668744804
3/5/2020,-0.685083802
3/6/2020,-0.702568433
3/9/2020,-0.790822233
3/10/2020,-0.755357562
3/11/2020,-0.792241627
3/12/2020,-0.818043568
3/13/2020,-0.801511755
3/16/2020,-0.81952885
3/17/2020,-0.779557863
3/18/2020,-0.762268027
3/19/2020,-0.739637991
3/20/2020,-0.710178863
3/23/2020,-0.666583507
3/24/2020,-0.637144946
3/25/2020,-0.651831266
3/26/2020,-0.657678571
3/27/2020,-0.709221628
3/30/2020,-0.688203987
3/31/2020,-0.700659497
4/1/2020,-0.646892954
4/2/2020,-0.643623724
4/3/2020,-0.650652483
4/6/2020,-0.601151372
4/7/2020,-0.596843203
4/8/2020,-0.604772759
4/9/2020,-0.604874617
4/14/2020,-0.59893873
4/15/2020,-0.608081267
4/16/2020,-0.629903308
4/17/2020,-0.606962184
4/20/2020,-0.554823545
4/21/2020,-0.564867679
4/22/2020,-0.568039139
4/23/2020,-0.547884723
4/24/2020,-0.53923956
4/27/2020,-0.528398642
4/28/2020,-0.550883615
4/29/2020,-0.570389668
4/30/2020,-0.535269177
5/4/2020,-0.534654515
5/5/2020,-0.530104229
5/6/2020,-0.547504941
5/7/2020,-0.55111154
5/8/2020,-0.530756867
5/11/2020,-0.542137744
5/12/2020,-0.549237669
5/13/2020,-0.546912952
5/14/2020,-0.586268436
5/15/2020,-0.561417647
5/18/2020,-0.574499416
5/19/2020,-0.56465241
5/20/2020,-0.567886002
5/21/2020,-0.55812539
5/22/2020,-0.591089783
5/25/2020,-0.572570769
5/26/2020,-0.581925061
5/27/2020,-0.586460928
5/28/2020,-0.570371679
5/29/2020,-0.572905291
6/1/2020,-0.580852387
6/2/2020,-0.564921105
6/3/2020,-0.56196757
6/4/2020,-0.576123943
6/5/2020,-0.574130309
6/8/2020,-0.552753483
6/9/2020,-0.549804898
6/10/2020,-0.539431105
6/11/2020,-0.53864889
6/12/2020,-0.539553948
6/15/2020,-0.537602938
6/16/2020,-0.541131308
6/17/2020,-0.531612985
6/18/2020,-0.543759032
6/19/2020,-0.554253812
6/22/2020,-0.549143963
6/23/2020,-0.570891839
6/24/2020,-0.575635505
6/25/2020,-0.592002729
6/26/2020,-0.589592657
6/29/2020,-0.574604319
6/30/2020,-0.571570273
7/1/2020,-0.576738123
7/2/2020,-0.580258084
7/3/2020,-0.579493935
7/6/2020,-0.577792482
7/7/2020,-0.57484476
7/8/2020,-0.569428977
7/9/2020,-0.574471448
7/10/2020,-0.580961602
7/13/2020,-0.589475304
7/14/2020,-0.588049739
7/15/2020,-0.600296293
7/16/2020,-0.603288268
7/17/2020,-0.598705474
7/20/2020,-0.595544512
7/21/2020,-0.589877616
7/22/2020,-0.581971016
7/23/2020,-0.586609132
7/24/2020,-0.591328149
7/27/2020,-0.58567787
7/28/2020,-0.565670707
7/29/2020,-0.576152418
7/30/2020,-0.57791841
7/31/2020,-0.582781495
8/3/2020,-0.585891126
8/4/2020,-0.582389382
8/5/2020,-0.586174006
8/6/2020,-0.586196414
