Date,3M
1/4/2021,-0.624121455
1/5/2021,-0.627745319
1/6/2021,-0.626881202
1/7/2021,-0.635089876
1/8/2021,-0.64238019
1/11/2021,-0.626499828
1/12/2021,-0.625572486
1/13/2021,-0.628880511
1/14/2021,-0.627566771
1/15/2021,-0.615001476
1/18/2021,-0.620238149
1/19/2021,-0.618433825
1/20/2021,-0.619777994
1/21/2021,-0.623025031
1/22/2021,-0.615033535
1/25/2021,-0.61522964
1/26/2021,-0.616637567
1/27/2021,-0.624584427
1/28/2021,-0.626199613
1/29/2021,-0.624695725
2/1/2021,-0.624682981
2/2/2021,-0.626603531
2/3/2021,-0.618175819
2/4/2021,-0.622884306
2/5/2021,-0.612511263
2/8/2021,-0.623202167
2/9/2021,-0.619812705
2/10/2021,-0.619531932
2/11/2021,-0.612043634
2/12/2021,-0.618972292
2/15/2021,-0.621979478
2/16/2021,-0.615693428
2/17/2021,-0.612107019
2/18/2021,-0.613511016
2/19/2021,-0.61519504
2/22/2021,-0.610929345
2/23/2021,-0.614727593
2/24/2021,-0.617823665
2/25/2021,-0.615600742
2/26/2021,-0.612214297
3/1/2021,-0.610944566
3/2/2021,-0.605131697
3/3/2021,-0.605283632
3/4/2021,-0.617683296
3/5/2021,-0.613304738
3/8/2021,-0.608720833
3/9/2021,-0.61139044
3/10/2021,-0.606535951
3/11/2021,-0.603903667
3/12/2021,-0.603220219
3/15/2021,-0.598628874
3/16/2021,-0.603564291
3/17/2021,-0.60446049
3/18/2021,-0.607784626
3/19/2021,-0.61295158
3/22/2021,-0.614369175
3/23/2021,-0.610283064
3/24/2021,-0.611804016
3/25/2021,-0.622004213
3/26/2021,-0.625095095
3/29/2021,-0.627593506
3/30/2021,-0.617056188
3/31/2021,-0.635940437
4/1/2021,-0.628745719
4/6/2021,-0.626050302
4/7/2021,-0.631107244
4/8/2021,-0.638703077
4/9/2021,-0.631045786
4/12/2021,-0.632641292
4/13/2021,-0.630559126
4/14/2021,-0.636826326
4/15/2021,-0.64276794
4/16/2021,-0.638515083
4/19/2021,-0.631648411
4/20/2021,-0.624373053
4/21/2021,-0.62578636
4/22/2021,-0.634411205
4/23/2021,-0.638282622
4/26/2021,-0.627247174
4/27/2021,-0.632636284
4/28/2021,-0.641153593
4/29/2021,-0.633821345
4/30/2021,-0.627659835
5/3/2021,-0.62510533
5/4/2021,-0.62009843
5/5/2021,-0.618949466
5/6/2021,-0.624710462
5/7/2021,-0.620927332
5/10/2021,-0.619522818
5/11/2021,-0.625550778
5/12/2021,-0.627971706
5/13/2021,-0.641282742
5/14/2021,-0.634602132
5/17/2021,-0.633956241
5/18/2021,-0.637467986
5/19/2021,-0.631499585
5/20/2021,-0.636295184
5/21/2021,-0.63154866
5/24/2021,-0.628529431
5/25/2021,-0.625396008
5/26/2021,-0.625565858
5/27/2021,-0.632022208
5/28/2021,-0.626242057
5/31/2021,-0.631486212
6/1/2021,-0.633710355
6/2/2021,-0.636270499
6/3/2021,-0.63945171
6/4/2021,-0.639089018
6/7/2021,-0.627444415
6/8/2021,-0.633916152
6/9/2021,-0.645907609
6/10/2021,-0.641305626
6/11/2021,-0.645288696
6/14/2021,-0.641194053
6/15/2021,-0.64290179
6/16/2021,-0.642997674
6/17/2021,-0.646431678
6/18/2021,-0.648964066
6/21/2021,-0.644487968
6/22/2021,-0.650268932
6/23/2021,-0.647142233
6/24/2021,-0.648832264
6/25/2021,-0.658563882
6/28/2021,-0.649002007
6/29/2021,-0.652418721
6/30/2021,-0.650232744
7/1/2021,-0.650950645
7/2/2021,-0.646660146
7/5/2021,-0.651874014
7/6/2021,-0.642503918
7/7/2021,-0.64906578
7/8/2021,-0.652125724
7/9/2021,-0.6505712
7/12/2021,-0.641522399
7/13/2021,-0.651737267
7/14/2021,-0.644626807
7/15/2021,-0.651802411
7/16/2021,-0.65077377
7/19/2021,-0.647082494
7/20/2021,-0.654071365
7/21/2021,-0.659344423
7/22/2021,-0.66392258
7/23/2021,-0.672324337
7/26/2021,-0.665111018
7/27/2021,-0.666986667
7/28/2021,-0.654549346
7/29/2021,-0.65853933
7/30/2021,-0.662492107
8/2/2021,-0.652379766
8/3/2021,-0.646340408
8/4/2021,-0.645794864
8/5/2021,-0.651543741
8/6/2021,-0.644947696
8/9/2021,-0.641412389
8/10/2021,-0.634346784
8/11/2021,-0.65429024
8/12/2021,-0.66014591
8/13/2021,-0.660838339
8/16/2021,-0.645065984
8/17/2021,-0.660815195
