Date,3M
1/2/2019,2.42
1/3/2019,2.41
1/4/2019,2.42
1/7/2019,2.45
1/8/2019,2.46
1/9/2019,2.45
1/10/2019,2.43
1/11/2019,2.43
1/14/2019,2.45
1/15/2019,2.45
1/16/2019,2.43
1/17/2019,2.42
1/18/2019,2.41
1/22/2019,2.43
1/23/2019,2.41
1/24/2019,2.37
1/25/2019,2.39
1/28/2019,2.42
1/29/2019,2.42
1/30/2019,2.42
1/31/2019,2.41
2/1/2019,2.4
2/4/2019,2.42
2/5/2019,2.42
2/6/2019,2.42
2/7/2019,2.42
2/8/2019,2.43
2/11/2019,2.45
2/12/2019,2.43
2/13/2019,2.44
2/14/2019,2.43
2/15/2019,2.43
2/19/2019,2.45
2/20/2019,2.45
2/21/2019,2.45
2/22/2019,2.46
2/25/2019,2.47
2/26/2019,2.45
2/27/2019,2.45
2/28/2019,2.45
3/1/2019,2.44
3/4/2019,2.46
3/5/2019,2.46
3/6/2019,2.47
3/7/2019,2.45
3/8/2019,2.46
3/11/2019,2.46
3/12/2019,2.46
3/13/2019,2.45
3/14/2019,2.45
3/15/2019,2.45
3/18/2019,2.44
3/19/2019,2.46
3/20/2019,2.48
3/21/2019,2.49
3/22/2019,2.46
3/25/2019,2.46
3/26/2019,2.46
3/27/2019,2.44
3/28/2019,2.43
3/29/2019,2.4
4/1/2019,2.43
4/2/2019,2.42
4/3/2019,2.44
4/4/2019,2.44
4/5/2019,2.44
4/8/2019,2.43
4/9/2019,2.42
4/10/2019,2.43
4/11/2019,2.43
4/12/2019,2.44
4/15/2019,2.43
4/16/2019,2.43
4/17/2019,2.44
4/18/2019,2.42
4/22/2019,2.44
4/23/2019,2.45
4/24/2019,2.44
4/25/2019,2.43
4/26/2019,2.42
4/29/2019,2.44
4/30/2019,2.43
5/1/2019,2.43
5/2/2019,2.47
5/3/2019,2.43
5/6/2019,2.44
5/7/2019,2.43
5/8/2019,2.43
5/9/2019,2.43
5/10/2019,2.43
5/13/2019,2.41
5/14/2019,2.41
5/15/2019,2.42
5/16/2019,2.4
5/17/2019,2.39
5/20/2019,2.39
5/21/2019,2.39
5/22/2019,2.38
5/23/2019,2.37
5/24/2019,2.35
5/28/2019,2.37
5/29/2019,2.37
5/30/2019,2.38
5/31/2019,2.35
6/3/2019,2.35
6/4/2019,2.35
6/5/2019,2.35
6/6/2019,2.33
6/7/2019,2.28
6/10/2019,2.29
6/11/2019,2.27
6/12/2019,2.24
6/13/2019,2.19
6/14/2019,2.2
6/17/2019,2.23
6/18/2019,2.22
6/19/2019,2.18
6/20/2019,2.14
6/21/2019,2.11
6/24/2019,2.13
6/25/2019,2.12
6/26/2019,2.15
6/27/2019,2.14
6/28/2019,2.12
7/1/2019,2.21
7/2/2019,2.2
7/3/2019,2.21
7/5/2019,2.23
7/8/2019,2.26
7/9/2019,2.26
7/10/2019,2.2
7/11/2019,2.17
7/12/2019,2.14
7/15/2019,2.16
7/16/2019,2.15
7/17/2019,2.14
7/18/2019,2.05
7/19/2019,2.06
7/22/2019,2.09
7/23/2019,2.06
7/24/2019,2.1
7/25/2019,2.1
7/26/2019,2.12
7/29/2019,2.12
7/30/2019,2.08
7/31/2019,2.08
8/1/2019,2.07
8/2/2019,2.06
8/5/2019,2.05
8/6/2019,2.05
8/7/2019,2.02
8/8/2019,2.02
8/9/2019,2
8/12/2019,2
8/13/2019,2
8/14/2019,1.96
8/15/2019,1.91
8/16/2019,1.87
8/19/2019,1.94
8/20/2019,1.94
8/21/2019,1.97
8/22/2019,2
8/23/2019,1.97
8/26/2019,2.01
8/27/2019,1.98
8/28/2019,1.99
8/29/2019,1.99
8/30/2019,1.99
9/3/2019,1.98
9/4/2019,1.97
9/5/2019,1.97
9/6/2019,1.96
9/9/2019,1.96
9/10/2019,1.95
9/11/2019,1.96
9/12/2019,1.95
9/13/2019,1.96
9/16/2019,1.99
9/17/2019,1.99
9/18/2019,1.95
9/19/2019,1.93
9/20/2019,1.91
9/23/2019,1.94
9/24/2019,1.92
9/25/2019,1.89
9/26/2019,1.83
9/27/2019,1.8
9/30/2019,1.88
10/1/2019,1.82
10/2/2019,1.79
10/3/2019,1.7
10/4/2019,1.71
10/7/2019,1.75
10/8/2019,1.72
10/9/2019,1.69
10/10/2019,1.68
10/11/2019,1.68
10/15/2019,1.67
10/16/2019,1.66
10/17/2019,1.66
10/18/2019,1.66
10/21/2019,1.67
10/22/2019,1.65
10/23/2019,1.65
10/24/2019,1.67
10/25/2019,1.66
10/28/2019,1.65
10/29/2019,1.63
10/30/2019,1.62
10/31/2019,1.54
11/1/2019,1.52
11/4/2019,1.53
11/5/2019,1.56
11/6/2019,1.56
11/7/2019,1.56
11/8/2019,1.55
11/12/2019,1.59
11/13/2019,1.57
11/14/2019,1.57
11/15/2019,1.57
11/18/2019,1.57
11/19/2019,1.57
11/20/2019,1.57
11/21/2019,1.58
11/22/2019,1.58
11/25/2019,1.61
11/26/2019,1.6
11/27/2019,1.62
11/29/2019,1.59
12/2/2019,1.6
12/3/2019,1.57
12/4/2019,1.55
12/5/2019,1.54
12/6/2019,1.53
12/9/2019,1.54
12/10/2019,1.56
12/11/2019,1.57
12/12/2019,1.56
12/13/2019,1.57
12/16/2019,1.57
12/17/2019,1.56
12/18/2019,1.56
12/19/2019,1.57
12/20/2019,1.58
12/23/2019,1.59
12/24/2019,1.58
12/26/2019,1.58
12/27/2019,1.57
12/30/2019,1.57
12/31/2019,1.55
