Date,3M
2/17/2023,4.84
2/16/2023,4.84
2/15/2023,4.79
2/14/2023,4.8
2/13/2023,4.81
2/10/2023,4.79
2/9/2023,4.77
2/8/2023,4.72
2/7/2023,4.71
2/6/2023,4.71
2/3/2023,4.7
2/2/2023,4.66
2/1/2023,4.66
1/31/2023,4.7
1/30/2023,4.72
1/27/2023,4.73
1/26/2023,4.71
1/25/2023,4.72
1/24/2023,4.72
1/23/2023,4.73
1/20/2023,4.72
1/19/2023,4.71
1/18/2023,4.69
1/17/2023,4.71
1/13/2023,4.67
1/12/2023,4.66
1/11/2023,4.72
1/10/2023,4.73
1/9/2023,4.7
1/6/2023,4.67
1/5/2023,4.66
1/4/2023,4.55
1/3/2023,4.53
