Date,3M
1/3/2022,-0.687046833
1/4/2022,-0.655453195
1/5/2022,-0.663191305
1/6/2022,-0.667357501
1/7/2022,-0.662013664
1/10/2022,-0.662318014
1/11/2022,-0.65248718
1/12/2022,-0.653929855
1/13/2022,-0.675686603
1/14/2022,-0.670851791
1/17/2022,-0.688689204
1/18/2022,-0.709265454
1/19/2022,-0.708838339
1/20/2022,-0.724620112
1/21/2022,-0.665456528
1/24/2022,-0.697856291
1/25/2022,-0.704222106
1/26/2022,-0.743246971
1/27/2022,-0.73229211
1/28/2022,-0.722358296
1/31/2022,-0.696766686
2/1/2022,-0.701901218
2/2/2022,-0.698620809
2/3/2022,-0.681543492
2/4/2022,-0.680817514
2/7/2022,-0.680557794
2/8/2022,-0.683375051
2/9/2022,-0.683663583
2/10/2022,-0.695856407
2/11/2022,-0.694757863
2/14/2022,-0.70705752
2/15/2022,-0.699302095
2/16/2022,-0.697230208
2/17/2022,-0.699674675
2/18/2022,-0.708064077
2/21/2022,-0.703387055
2/22/2022,-0.691030444
2/23/2022,-0.695910967
2/24/2022,-0.731361215
2/25/2022,-0.705766656
2/28/2022,-0.734025669
3/1/2022,-0.712499471
3/2/2022,-0.718151289
3/3/2022,-0.732739498
3/4/2022,-0.724196098
3/7/2022,-0.743545392
3/8/2022,-0.748153162
3/9/2022,-0.734260331
3/10/2022,-0.737314117
3/11/2022,-0.701372178
3/14/2022,-0.699861078
3/15/2022,-0.705636887
3/16/2022,-0.701409652
3/17/2022,-0.718516063
3/18/2022,-0.725292355
3/21/2022,-0.694181699
3/22/2022,-0.697310742
3/23/2022,-0.706470815
3/24/2022,-0.726092468
3/25/2022,-0.733399423
3/28/2022,-0.724464887
3/29/2022,-0.712466088
3/30/2022,-0.705865469
3/31/2022,-0.699088019
4/1/2022,-0.71561701
4/4/2022,-0.665761053
4/5/2022,-0.668786688
4/6/2022,-0.668594762
4/7/2022,-0.686993785
4/8/2022,-0.682422242
4/11/2022,-0.6506053
4/12/2022,-0.676800915
4/13/2022,-0.651156779
4/14/2022,-0.679943428
4/19/2022,-0.66158167
4/20/2022,-0.645160902
4/21/2022,-0.656167974
4/22/2022,-0.62546496
4/25/2022,-0.611710572
4/26/2022,-0.622761228
4/27/2022,-0.600756149
4/28/2022,-0.62173596
4/29/2022,-0.593594455
5/2/2022,-0.564231326
5/3/2022,-0.593860726
5/4/2022,-0.606652255
5/5/2022,-0.598336991
5/6/2022,-0.583915748
5/9/2022,-0.508007395
5/10/2022,-0.50875543
5/11/2022,-0.500488829
5/12/2022,-0.485246142
5/13/2022,-0.467183662
5/16/2022,-0.464127836
5/17/2022,-0.484186655
5/18/2022,-0.498515925
5/19/2022,-0.495728434
5/20/2022,-0.46510871
5/23/2022,-0.450148567
5/24/2022,-0.448794043
5/25/2022,-0.433050826
5/26/2022,-0.422609903
5/27/2022,-0.402774194
5/30/2022,-0.37448456
5/31/2022,-0.378927546
6/1/2022,-0.335590035
6/2/2022,-0.374761432
6/3/2022,-0.374568071
6/6/2022,-0.324991272
6/7/2022,-0.333831518
6/8/2022,-0.368699936
6/9/2022,-0.382347034
6/10/2022,-0.481896549
6/13/2022,-0.455550888
6/14/2022,-0.411926939
6/15/2022,-0.395883913
6/16/2022,-0.386648903
6/17/2022,-0.487647107
6/20/2022,-0.436365718
6/21/2022,-0.457481852
6/22/2022,-0.385286153
6/23/2022,-0.459230825
6/24/2022,-0.414817996
6/27/2022,-0.415377696
6/28/2022,-0.439578743
6/29/2022,-0.413699394
6/30/2022,-0.417339537
7/1/2022,-0.378816403
7/4/2022,-0.363542963
7/5/2022,-0.389946755
7/6/2022,-0.32228892
7/7/2022,-0.346617787
7/8/2022,-0.341638725
7/11/2022,-0.372424197
7/12/2022,-0.283742955
7/13/2022,-0.321358475
7/14/2022,-0.308105885
7/15/2022,-0.278724074
7/18/2022,-0.215456576
7/19/2022,-0.227129705
7/20/2022,-0.184600478
7/21/2022,-0.034248817
7/22/2022,-0.050739537
7/25/2022,-0.017005818
7/26/2022,0.014716992
7/27/2022,0.039806057
7/28/2022,0.021521529
7/29/2022,0.044356127
8/1/2022,0.085203071
8/2/2022,0.005427221
8/3/2022,0.003235077
8/4/2022,0.038974918
8/5/2022,0.044579903
8/8/2022,0.05010189
8/9/2022,0.066973021
8/10/2022,0.056638751
8/11/2022,0.063204253
8/12/2022,0.061639795
8/15/2022,0.099339513
8/16/2022,0.090043134
8/17/2022,0.078394841
8/18/2022,0.096750404
8/19/2022,0.102843634
8/22/2022,-0.051627405
8/23/2022,-0.113135519
8/24/2022,-0.199928065
8/25/2022,-0.266528384
8/26/2022,-0.288931716
8/29/2022,-0.237179286
8/30/2022,-0.141339728
8/31/2022,-0.190907621
9/1/2022,-0.140230598
9/2/2022,-0.116356147
9/5/2022,-0.070930297
9/6/2022,-0.071467487
9/7/2022,-0.010541654
9/8/2022,0.089507838
9/9/2022,0.130134783
9/12/2022,0.40260518
9/13/2022,0.398680743
9/14/2022,0.372293632
9/15/2022,0.415378711
9/16/2022,0.412713995
9/19/2022,0.490464295
9/20/2022,0.530727897
9/21/2022,0.53151236
9/22/2022,0.608011421
9/23/2022,0.624007705
9/26/2022,0.666669866
9/27/2022,0.575465562
9/28/2022,0.61563345
